,name,categories,price,href
148,GIGABYTE B760M D2H DDR4,Motherboard,"₨42,000",https://xtremehardware.pk/product/gigabyte-b760m-d2h-ddr4-price-pakistan/
149,MSI PRO B760M-P DDR4,Motherboard,"₨42,000",https://xtremehardware.pk/product/msi-pro-b760m-p-ddr4-price-pakistan/
150,ASUS PRIME B550M-A,Motherboard,"₨42,900",https://xtremehardware.pk/product/asus-prime-b550m-a/
151,SILVERSTONE SST DA850R GMA Black,Power Supply,"₨43,120",https://xtremehardware.pk/product/silverstone-sst-da850r-gma-black/
152,ASUS TUF Gaming GT501 Mid-Tower Computer Case (Black),Casing,"₨44,000",https://xtremehardware.pk/product/gt501-tuf-gaming-case-black/
153,ASUS Prime B760M-K,Motherboard,"₨44,000",https://xtremehardware.pk/product/asus-prime-b760m-k/
154,SILVERSTONE SST DA850R GMA White,Power Supply,"₨44,240",https://xtremehardware.pk/product/silverstone-sst-da850r-gma-white/
155,ASUS TUF GT501 Mid Tower GAMING CASE (WHITE Edition),Casing,"₨45,000",https://xtremehardware.pk/product/gt501-tuf-gaming-case-white/
156,GIGABYTE X570 GAMING X (WITHOUT BOX),Motherboard,"₨45,000",https://xtremehardware.pk/product/gigabyte-x570-gaming-x-without-box/
157,Intel Core i5-11400  Processor,Processors,"₨45,000",https://xtremehardware.pk/product/intel-core-i5-11400-processor/
158,AMD Ryzen 7 3700X  Processor (Tray),Processors,"₨45,000",https://xtremehardware.pk/product/amd-ryzen-7-3700x-processor-tray/
159,Intel Core i5-12400 Processor Tray Pack,Processors,"₨45,000",https://xtremehardware.pk/product/intel-core-i5-12400-processor-tray-pack/
160,AMD Ryzen™ 5 7500F Tray,Processors,"₨45,000",https://xtremehardware.pk/product/amd-ryzen-5-7500f-tray/
161,ASUS TUF Gaming VG246H1A Gaming Monitor – 24 inch Full HD,LCD/LED Montiors,"₨46,200",https://xtremehardware.pk/product/asus-tuf-gaming-vg246h1a-gaming-monitor-24-inch-full-hd/
162,ASUS Prime 850W Gold,Power Supply,"₨46,200",https://xtremehardware.pk/product/asus-prime-850w-gold/
163,Razer Tomahawk ATX Mid-tower with Razer Chroma RGB Gaming Chassis,Casing,"₨46,500",https://xtremehardware.pk/product/razer-tomahawk-atx-mid-tower-with-razer-chroma-rgb-gaming-chassis/
164,AMD Ryzen 5 5600X Processor,Processors,"₨47,500",https://xtremehardware.pk/product/amd-ryzen-5-5600x-processor/
165,XPG Core Reactor II 850W 80 Plus Gold,Power Supply,"₨47,500",https://xtremehardware.pk/product/xpg-core-reactor-ii-850w-80-plus-gold/
166,CORSAIR iCUE H100i ELITE LCD Display Liquid AIO,Cooling Solutions,"₨48,000",https://xtremehardware.pk/product/corsair-icue-h100i-elite-lcd-display-liquid-aio/
167,ID-COOLING SL240 Space LCD 240mm AIO CPU Cooler Black,Cooling Solutions,"₨48,000",https://xtremehardware.pk/product/id-cooling-sl240-space-lcd-240mm-aio-cpu-cooler-black/
168,ASUS PRIME B760M-A,Motherboard,"₨49,500",https://xtremehardware.pk/product/prime-b760m-a-intel-b760-lga-1700-matx-motherboard-with-pcie-4-0-ddr5/
169,ASUS TUF Gaming 850W Gold,Power Supply,"₨49,500",https://xtremehardware.pk/product/asus-tuf-gaming-850w-gold/
170,ASUS PRIME B550M-A WIFI II,Motherboard,"₨49,500",https://xtremehardware.pk/product/asus-prime-b550m-a-wifi-ii/
171,LIAN LI Lancool III RGB Black Aluminum/SECC/Tempered Glass Gaming Case – LANCOOL 3R-X,Casing,"₨50,000",https://xtremehardware.pk/product/lancool-iii-black-rgb/
172,Professional 1,Pre Build PC,"₨50,000",https://xtremehardware.pk/product/professional-1/
173,LIAN LI PC-O11 Dynamic Razer Edition Black ATX Mid Tower Gaming Computer Case,Casing,"₨50,000",https://xtremehardware.pk/product/lian-li-pc-o11-dynamic-razer-edition-black-atx-mid-tower-gaming-computer-case/
174,MSI MPG X570 GAMING EDGE WIFI (WITHOUT BOX),Motherboard,"₨50,000",https://xtremehardware.pk/product/msi-mpg-x570-gaming-edge-wifi-without-box/
175,ASUS TUF A620M Plus,Motherboard,"₨50,000",https://xtremehardware.pk/product/asus-tuf-a620m-plus/
176,Xtreme 1,Pre Build PC,"₨50,000",https://xtremehardware.pk/product/xtreme-1-2/
177,Intel Core i5-12500 Processor (TRAY),Processors,"₨50,500",https://xtremehardware.pk/product/intel-core-i5-12500-processor-tray/
178,ASUS TUF GT502 TUF Gaming ATX Mid-Tower Computer Case (Black),Casing,"₨50,600",https://xtremehardware.pk/product/gt502-tug-gaming-case-black/
179,ASUS TUF GT502 TUF Gaming ATX Mid-Tower Computer Case (WHITE),Casing,"₨50,600",https://xtremehardware.pk/product/gt502-tuf-gaming-case-white/
180,LIAN LI Lancool III RGB White Aluminum/SECC/Tempered Glass Gaming Case – LANCOOL 3R-X,Casing,"₨51,000",https://xtremehardware.pk/product/lancool-iii-white-rgb/
181,GIGABYTE B550 GAMING X V2,Motherboard,"₨51,150",https://xtremehardware.pk/product/gigabyte-b550-gaming-x-v2/
182,TWISTED MINDS 23.8 FHD 200Hz CuRVED VA 1ms,LCD/LED Montiors,"₨51,499",https://xtremehardware.pk/product/twisted-minds-23-8-fhd-200hz-curved-va-1ms/
183,ASUS TUF Gaming VG247Q1A Gaming Monitor  24 inch (23.8 inch viewable) Full HD,LCD/LED Montiors,"₨52,800",https://xtremehardware.pk/product/asus-tuf-gaming-vg247q1a-gaming-monitor-24-inch-23-8-inch-viewable-full-hd/
184,ASUS PRIME B650M-A II,Motherboard,"₨53,350",https://xtremehardware.pk/product/asus-prime-b650m-a-ii/
185,Asus Prime B760-Plus,Motherboard,"₨53,900",https://xtremehardware.pk/product/asus-prime-b760-plus/
186,ASUS TUF GAMING B760M-PLUS,Motherboard,"₨53,900",https://xtremehardware.pk/product/asus-tuf-gaming-b760m-plus/
187,ASUS VZ27EHE Eye Care Monitor – 27 inch Full HD,LCD/LED Montiors,"₨53,900",https://xtremehardware.pk/product/asus-vz27ehe-eye-care-monitor-27-inch-full-hd/
188,ASUS VY279HE Eye Care Monitor 27 inch FHD,LCD/LED Montiors,"₨53,900",https://xtremehardware.pk/product/asus-vy279he-eye-care-monitor-27-inch-fhd/
189,MSI G244F E2,LCD/LED Montiors,"₨54,000",https://xtremehardware.pk/product/msi-g244f-e2/
190,GIGABYTE X570 GAMING X,Motherboard,"₨55,000",https://xtremehardware.pk/product/gigabyte-x570-gaming-x-price-in-pakistan/
191,BOOST T-REX,Casing,"₨55,000",https://xtremehardware.pk/product/boost-t-rex/
